label,Id,predict_value
posLen_tp_7_rand_c,0,1
posLen_tp_7_rand_c,0,0.61
posLen_tp_7_rand_c,0,0.55
posLen_tp_7_rand_c,0,0.5
posLen_tp_7_rand_c,0,0.75
posLen_tp_7_rand_c,1,0.93
posLen_tp_7_rand_c,1,0.85
posLen_tp_7_rand_c,1,0.65
posLen_tp_7_rand_c,1,0.55
posLen_tp_7_rand_c,1,0.9
posLen_tp_7_rand_c,2,0.3
posLen_tp_7_rand_c,2,0.15
posLen_tp_7_rand_c,2,0.16
posLen_tp_7_rand_c,2,0.6
posLen_tp_7_rand_c,2,0.95
posLen_tp_7_rand_c,3,0.6
posLen_tp_7_rand_c,3,0.17
posLen_tp_7_rand_c,3,0.61
posLen_tp_7_rand_c,3,0.14
posLen_tp_7_rand_c,3,0.55
posLen_tp_7_rand_c,4,0.4
posLen_tp_7_rand_c,4,0.75
posLen_tp_7_rand_c,4,0.95
posLen_tp_7_rand_c,4,0.6
posLen_tp_7_rand_c,4,0.5
posLen_tp_7_rand_c,5,0.16
posLen_tp_7_rand_c,5,0.85
posLen_tp_7_rand_c,5,0.6
posLen_tp_7_rand_c,5,0.9
posLen_tp_7_rand_c,5,0.4
posLen_tp_7_rand_c,6,0.17
posLen_tp_7_rand_c,6,0.86
posLen_tp_7_rand_c,6,0.61
posLen_tp_7_rand_c,6,0.91
posLen_tp_7_rand_c,6,0.41
posLen_tp_7_rand_c,7,0.24
posLen_tp_7_rand_c,7,0.93
posLen_tp_7_rand_c,7,0.68
posLen_tp_7_rand_c,7,0.98
posLen_tp_7_rand_c,7,0.48
posLen_tp_7_rand_c,8,0.2
posLen_tp_7_rand_c,8,0.89
posLen_tp_7_rand_c,8,0.64
posLen_tp_7_rand_c,8,0.94
posLen_tp_7_rand_c,8,0.44
