label,Id,predict_value
posLen_tp_13_rand_c,0,0.98
posLen_tp_13_rand_c,0,0.44
posLen_tp_13_rand_c,0,0.78
posLen_tp_13_rand_c,0,0.85
posLen_tp_13_rand_c,0,0.94
posLen_tp_13_rand_c,1,0.59
posLen_tp_13_rand_c,1,0.25
posLen_tp_13_rand_c,1,0.52
posLen_tp_13_rand_c,1,0.29
posLen_tp_13_rand_c,1,0.86
posLen_tp_13_rand_c,2,0.63
posLen_tp_13_rand_c,2,0.57
posLen_tp_13_rand_c,2,0.81
posLen_tp_13_rand_c,2,0.3
posLen_tp_13_rand_c,2,0.94
posLen_tp_13_rand_c,3,0.95
posLen_tp_13_rand_c,3,1.0
posLen_tp_13_rand_c,3,0.34
posLen_tp_13_rand_c,3,1.02
posLen_tp_13_rand_c,3,0.44
posLen_tp_13_rand_c,4,0.94
posLen_tp_13_rand_c,4,0.62
posLen_tp_13_rand_c,4,1.01
posLen_tp_13_rand_c,4,0.49
posLen_tp_13_rand_c,4,0.42
posLen_tp_13_rand_c,5,0.62
posLen_tp_13_rand_c,5,0.71
posLen_tp_13_rand_c,5,0.56
posLen_tp_13_rand_c,5,0.4
posLen_tp_13_rand_c,5,0.48
posLen_tp_13_rand_c,6,0.37
posLen_tp_13_rand_c,6,0.98
posLen_tp_13_rand_c,6,0.82
posLen_tp_13_rand_c,6,0.36
posLen_tp_13_rand_c,6,1.02
