label,Id,predict_value
posLen_tp_10_rand_c,0,0.74
posLen_tp_10_rand_c,0,1.07
posLen_tp_10_rand_c,0,0.49
posLen_tp_10_rand_c,0,0.72
posLen_tp_10_rand_c,0,0.64
posLen_tp_10_rand_c,1,0.4
posLen_tp_10_rand_c,1,0.28
posLen_tp_10_rand_c,1,0.42
posLen_tp_10_rand_c,1,0.48
posLen_tp_10_rand_c,1,0.98
posLen_tp_10_rand_c,2,0.37
posLen_tp_10_rand_c,2,0.55
posLen_tp_10_rand_c,2,0.65
posLen_tp_10_rand_c,2,0.29
posLen_tp_10_rand_c,2,0.29
posLen_tp_10_rand_c,3,0.74
posLen_tp_10_rand_c,3,0.39
posLen_tp_10_rand_c,3,0.93
posLen_tp_10_rand_c,3,0.25
posLen_tp_10_rand_c,3,0.26
posLen_tp_10_rand_c,4,0.41
posLen_tp_10_rand_c,4,0.29
posLen_tp_10_rand_c,4,0.43
posLen_tp_10_rand_c,4,0.49
posLen_tp_10_rand_c,4,0.99
posLen_tp_10_rand_c,5,0.81
posLen_tp_10_rand_c,5,0.46
posLen_tp_10_rand_c,5,1.0
posLen_tp_10_rand_c,5,0.32
posLen_tp_10_rand_c,5,0.33
posLen_tp_10_rand_c,6,0.4
posLen_tp_10_rand_c,6,0.58
posLen_tp_10_rand_c,6,0.68
posLen_tp_10_rand_c,6,0.32
posLen_tp_10_rand_c,6,0.32
